YEAR,MONTH,DAY,STID,TMAX,TMIN,TAVG,AVGC
1998,12,17,ALV2,63.9,28.93,45.14,7.30
1998,12,18,ALV2,51.12,41.99,47.05,8.36
1998,12,19,ALV2,41.89,27.32,30.99,-0.56
1998,12,20,ALV2,30.06,19.86,26.56,-3.02
1998,12,21,ALV2,19.73,5.52,12.56,-10.80
1998,12,22,ALV2,18.68,-0.58,9.44,-12.53
1998,12,23,ALV2,22.44,12.29,17.05,-8.31
1998,12,24,ALV2,29.29,6.93,17.63,-7.98
1998,12,25,ALV2,-996,-996,-996,-571.11
1998,12,26,ALV2,52.72,22.88,36.38,2.43
1998,12,27,ALV2,55.51,22.13,36.14,2.30
1998,12,28,ALV2,56.91,20.95,35.49,1.94
1998,12,29,ALV2,43.2,22.07,36.03,2.24
1998,12,30,ALV2,54.63,19.89,33.97,1.09
1998,12,31,ALV2,33.27,15.93,24.18,-4.34
1999,1,1,ALV2,31.55,24.4,29.2,-1.56
1999,1,2,ALV2,32.27,15.35,24.34,-4.26
1999,1,3,ALV2,25.15,7.2,14.16,-9.91
1999,1,4,ALV2,35.58,7.07,21.59,-5.78
1999,1,5,ALV2,49.21,14.25,32.03,0.02
1999,1,6,ALV2,64.81,23.76,39.52,4.18
1999,1,7,ALV2,23.78,18.19,20.24,-6.53
1999,1,8,ALV2,29.07,16.57,22.19,-5.45
1999,1,9,ALV2,36.89,7.03,21.04,-6.09
1999,1,10,ALV2,50.9,24.43,35.96,2.20
1999,1,11,ALV2,68.79,29.89,45.23,7.35
1999,1,12,ALV2,50.99,26.16,37.89,3.27
1999,1,13,ALV2,35.12,16.9,25.57,-3.57
1999,1,14,ALV2,53.78,20.48,35.38,1.88
1999,1,15,ALV2,63.77,28.22,42.76,5.98
1999,1,16,ALV2,56.17,28.59,42.76,5.98
1999,1,17,ALV2,58.35,32.19,44.17,6.76
1999,1,18,ALV2,61.2,21.55,41.83,5.46
1999,1,19,ALV2,65.84,33.48,50.25,10.14
1999,1,20,ALV2,64.74,26.27,41.62,5.34
1999,1,21,ALV2,55.56,31.85,43.18,6.21
1999,1,22,ALV2,41.98,33.68,37.56,3.09
1999,1,23,ALV2,57.6,21.56,37.53,3.07
1999,1,24,ALV2,53.47,32.39,39.12,3.96
1999,1,25,ALV2,38.18,24.82,31.31,-0.38
1999,1,26,ALV2,63.07,21.14,40.19,4.55
1999,1,27,ALV2,61.9,30.05,45.76,7.64
1999,1,28,ALV2,40.12,33.61,35.22,1.79
1999,1,29,ALV2,35.99,33.3,34.54,1.41
1999,1,30,ALV2,36.98,33.55,34.99,1.66
1999,1,31,ALV2,40.06,33.27,36.38,2.43
1999,2,1,ALV2,59.09,36.96,44.42,6.90
1999,2,2,ALV2,56.48,28.4,42.28,5.71
1999,2,3,ALV2,63.86,35.57,47.78,8.77
1999,2,4,ALV2,58.75,25.55,42.67,5.93
1999,2,5,ALV2,63.79,43.98,56.25,13.47
1999,2,6,ALV2,58.95,38.42,47.12,8.40
1999,2,7,ALV2,56.86,30.14,43.11,6.17
1999,2,8,ALV2,53.65,33.46,42.03,5.57
1999,2,9,ALV2,60.42,33.91,48.53,9.18
1999,2,10,ALV2,76.26,46.08,61.36,16.31
