Date	Temp1	Temp2	Temp3	Temp4	Temp5
3/11/2003	22.01	22.48	22.48	22.48	22.48
3/11/2003	22.09	22.48	22.48	22.48	22.48
3/11/2003	22.09	22.48	22.48	22.48	22.48
3/11/2003	22.09	22.48	22.48	22.09	22.48
3/11/2003	22.09	22.48	22.48	22.09	22.48
3/11/2003	22.09	22.09	22.09	22.09	22.48
3/11/2003	22.09	22.09	22.09	22.09	22.48
3/11/2003	22.09	22.09	22.09	22.09	22.09
3/11/2003	16.76	16.76	16.76	14.09	14.09
3/11/2003	16.38	16.38	16.38	16.38	16.38
3/11/2003	17.52	17.9	17.9	18.28	18.66
3/11/2003	24.4	21.71	19.42	24.01	20.19
3/11/2003	23.63	22.09	19.81	25.95	20.95
3/11/2003	24.4	22.86	20.95	25.95	22.09
3/11/2003	24.79	23.63	21.71	26.34	23.63
3/11/2003	25.17	24.4	22.48	26.73	24.01
3/11/2003	24.4	24.79	24.01	27.12	24.79
3/11/2003	24.79	25.17	24.4	27.12	25.56
3/11/2003	25.95	25.17	23.63	27.12	25.17
3/11/2003	25.95	25.17	23.24	27.12	24.79
3/11/2003	25.95	24.79	22.86	27.12	24.4
3/11/2003	26.34	24.79	22.86	27.52	24.4
3/11/2003	26.34	24.79	22.86	27.52	24.4
3/11/2003	23.63	23.63	24.01	27.91	23.24
3/12/2003	24.01	24.01	23.63	27.91	22.09
3/12/2003	23.24	23.63	24.01	28.31	22.86
3/12/2003	25.17	24.4	23.24	28.31	21.33
3/12/2003	25.56	24.01	22.86	27.91	21.33
3/12/2003	25.56	23.63	22.86	27.91	20.57
3/12/2003	25.56	23.24	22.48	27.91	19.81
3/12/2003	25.95	24.01	22.86	27.91	20.19
3/12/2003	25.95	24.01	23.24	27.91	21.71
3/12/2003	26.34	24.01	23.24	28.31	21.33
3/12/2003	25.95	24.4	23.63	28.31	21.33
3/12/2003	25.95	24.01	22.09	28.7	22.48
3/12/2003	26.34	24.4	22.48	29.1	22.86
3/12/2003	24.01	23.24	22.09	28.31	21.71
3/12/2003	24.4	23.63	22.48	29.1	22.48
3/12/2003	24.01	24.01	22.86	29.1	22.86
3/12/2003	24.4	24.01	23.24	29.5	22.86
3/12/2003	24.4	24.4	23.24	29.9	23.24
